ID;Experiment Run End;Parent Model Type;Model Type;Index ID;Index Name;Study Period Length;Test Set Size;Days Test Set;Constituent Number;Average Cross Section Size;Test Set Start Date;Test Set End Date;Total Accuracy;Top-k Accuracy Scores;Top-k Mean Daily Return;Top-k Mean Daily Excess Return;Top-k Annualized Excess Return;Top-k Annualized Return;Top-k Annualized Sharpe;Top-k Annualized Sortino;Model Configs;Total Epochs;Period Range;Study Period Start Date;Study Period End Date
1;2020-01-23T00:26:44.610178;tree_based;RandomForestClassifier;150095;Deutscher Aktienindex (DAX) Index;977;6494;241;27;27;1996-08-13;1997-07-31;0.5197105020018479;"{""5"": 0.5273258239465999, ""10"": 0.5234033700852923}";"{""5"": 0.0009880451851148073, ""10"": 0.0005916282858234202}";"{""5"": 0.0007612393636729728, ""10"": 0.0003647782287993263}";"{""5"": 0.2095367583748371, ""10"": 0.0954639020027106}";"{""5"": 0.2800374655171054, ""10"": 0.1593544431742311}";"{""5"": 0.6817203889798912, ""10"": 0.33080884443497177}";"{""5"": 0.9534908623089035, ""10"": 0.4643325305832181}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6750, -5751);1993-09-14;1997-07-31
1;2020-01-23T00:26:44.882462;tree_based;ExtraTreesClassifier;150095;Deutscher Aktienindex (DAX) Index;977;6494;241;27;27;1996-08-13;1997-07-31;0.5187865722205113;"{""5"": 0.5494367959949937, ""10"": 0.5248595797794883}";"{""5"": 0.001322274644001944, ""10"": 0.0007164485873040585}";"{""5"": 0.001095468822560109, ""10"": 0.0004895985302799644}";"{""5"": 0.3148430548842962, ""10"": 0.13017182536109018}";"{""5"": 0.391455472995065, ""10"": 0.19607817264204774}";"{""5"": 0.9252325331019374, ""10"": 0.4272147619198916}";"{""5"": 1.271926418659175, ""10"": 0.6139384408947948}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6750, -5751);1993-09-14;1997-07-31
1;2020-01-23T00:26:45.202112;tree_based;WeightedEnsemble(RandomForestClassifier, ExtraTreesClassifier);150095;Deutscher Aktienindex (DAX) Index;977;6494;241;27;27;1996-08-13;1997-07-31;0.5200184785956268;"{""5"": 0.537755527743012, ""10"": 0.5267318493863117}";"{""5"": 0.0011320201103615611, ""10"": 0.0006814429754482934}";"{""5"": 0.0009052142889197264, ""10"": 0.0004545929184241993}";"{""5"": 0.2538279193382833, ""10"": 0.12032901503582116}";"{""5"": 0.3268994295973109, ""10"": 0.18566372663684172}";"{""5"": 0.7633166877297641, ""10"": 0.40747519474484195}";"{""5"": 1.0469943274689302, ""10"": 0.572856400022187}";"[{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}, {""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}]";;(-6750, -5751);1993-09-14;1997-07-31
1;2020-01-23T00:26:56.841296;tree_based;RandomForestClassifier;150095;Deutscher Aktienindex (DAX) Index;972;6456;241;28;27;1997-08-01;1998-07-21;0.5117719950433705;"{""5"": 0.516320474777448, ""10"": 0.513524847976515}";"{""5"": 0.0003860563974852997, ""10"": 0.0004196247054749719}";"{""5"": 0.00018465102404172613, ""10"": 0.00021774999715652144}";"{""5"": 0.04724037968096417, ""10"": 0.055940219401840574}";"{""5"": 0.1013045968723989, ""10"": 0.11058196632050965}";"{""5"": 0.12462907151622103, ""10"": 0.1496269907017808}";"{""5"": 0.18844310389815397, ""10"": 0.22551170608760354}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6500, -5501);1994-09-01;1998-07-21
1;2020-01-23T00:26:57.158447;tree_based;ExtraTreesClassifier;150095;Deutscher Aktienindex (DAX) Index;972;6456;241;28;27;1997-08-01;1998-07-21;0.5080545229244114;"{""5"": 0.5154726579058924, ""10"": 0.5103795344936045}";"{""5"": 0.000349377724249322, ""10"": 0.00019027695242971793}";"{""5"": 0.00014797235080574826, ""10"": -1.1597755888732562e-05}";"{""5"": 0.037683008180626754, ""10"": -0.002895256423490644}";"{""5"": 0.0912558363963838, ""10"": 0.048714064376125465}";"{""5"": 0.10150943969929961, ""10"": -0.00803091605992158}";"{""5"": 0.15354100053158592, ""10"": -0.012186282966390852}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6500, -5501);1994-09-01;1998-07-21
1;2020-01-23T00:26:57.417798;tree_based;WeightedEnsemble(RandomForestClassifier, ExtraTreesClassifier);150095;Deutscher Aktienindex (DAX) Index;972;6456;241;28;27;1997-08-01;1998-07-21;0.516728624535316;"{""5"": 0.516320474777448, ""10"": 0.5149926609352066}";"{""5"": 0.0002738644737777078, ""10"": 0.00033510926256866765}";"{""5"": 7.245910033413394e-05, ""10"": 0.00013323455425021737}";"{""5"": 0.018279174582452873, ""10"": 0.0338672881472033}";"{""5"": 0.07085430407879567, ""10"": 0.08737146239931359}";"{""5"": 0.049173197930969054, ""10"": 0.09122957966661167}";"{""5"": 0.07341969555311992, ""10"": 0.13721257907262716}";"[{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}, {""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}]";;(-6500, -5501);1994-09-01;1998-07-21
1;2020-01-23T00:27:09.814213;tree_based;RandomForestClassifier;150095;Deutscher Aktienindex (DAX) Index;973;7379;246;30;30;1998-07-22;1999-07-13;0.515245968288386;"{""5"": 0.5229768198454656, ""10"": 0.5169749949176662}";"{""5"": 0.001492692958808271, ""10"": 0.0009361335775847902}";"{""5"": 0.0013327723896428554, ""10"": 0.0007762147973387118}";"{""5"": 0.39510720141753497, ""10"": 0.21407008863631782}";"{""5"": 0.4519318790079172, ""10"": 0.2635483571014141}";"{""5"": 0.504049712903073, ""10"": 0.2927250779964298}";"{""5"": 0.6259551848363164, ""10"": 0.3529617879330078}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6250, -5251);1995-08-22;1999-07-13
1;2020-01-23T00:27:10.100447;tree_based;ExtraTreesClassifier;150095;Deutscher Aktienindex (DAX) Index;973;7379;246;30;30;1998-07-22;1999-07-13;0.5205312372950264;"{""5"": 0.5363969093127288, ""10"": 0.5240902622484245}";"{""5"": 0.0013628960103040156, ""10"": 0.0010826541893275972}";"{""5"": 0.0012029754411385998, ""10"": 0.0009227354090815187}";"{""5"": 0.35061914263531624, ""10"": 0.25932704575673604}";"{""5"": 0.4056390336903357, ""10"": 0.31064205502798314}";"{""5"": 0.45206464060400736, ""10"": 0.3496035822507972}";"{""5"": 0.5384961499534795, ""10"": 0.42483886671059584}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6250, -5251);1995-08-22;1999-07-13
1;2020-01-23T00:27:10.459486;tree_based;WeightedEnsemble(RandomForestClassifier, ExtraTreesClassifier);150095;Deutscher Aktienindex (DAX) Index;973;7379;246;30;30;1998-07-22;1999-07-13;0.5145683696977911;"{""5"": 0.5323302155347702, ""10"": 0.5269363691807278}";"{""5"": 0.0017488557256554384, ""10"": 0.0010734218453653513}";"{""5"": 0.0015889351564900224, ""10"": 0.0009135030651192728}";"{""5"": 0.48723476554119016, ""10"": 0.25642642249337144}";"{""5"": 0.5477961253526162, ""10"": 0.3076237189712343}";"{""5"": 0.6041025834113332, ""10"": 0.3470750802037665}";"{""5"": 0.7281057082244564, ""10"": 0.4201886762502404}";"[{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}, {""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 200, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}]";;(-6250, -5251);1995-08-22;1999-07-13
1;2020-01-23T00:27:24.931210;tree_based;RandomForestClassifier;150095;Deutscher Aktienindex (DAX) Index;977;7706;249;31;31;1999-07-14;2000-07-03;0.5118089800155723;"{""5"": 0.5232135647961244, ""10"": 0.515401650895913, ""50"": 0.5118089800155723, ""100"": 0.5118089800155723, ""150"": 0.5118089800155723, ""200"": 0.5118089800155723, ""250"": 0.5118089800155723}";"{""5"": 0.0007810028724695114, ""10"": 0.00069317103453849, ""50"": 2.8814508814564143e-20, ""100"": 2.8814508814564143e-20, ""150"": 2.8814508814564143e-20, ""200"": 2.8814508814564143e-20, ""250"": 2.8814508814564143e-20}";"{""5"": 0.0005780868723179025, ""10"": 0.0004902592660149016, ""50"": -0.00020291027229767802, ""100"": -0.00020291027229767802, ""150"": -0.00020291027229767802, ""200"": -0.00020291027229767802, ""250"": -0.00020291027229767802}";"{""5"": 0.15543854103459598, ""10"": 0.13035843557536464, ""50"": -0.049467300611615195, ""100"": -0.049467300611615195, ""150"": -0.049467300611615195, ""200"": -0.049467300611615195, ""250"": -0.049467300611615195}";"{""5"": 0.2155230914775763, ""10"": 0.18914281687691092, ""50"": 0.0, ""100"": 0.0, ""150"": 0.0, ""200"": 0.0, ""250"": 0.0}";"{""5"": 0.32557398347390376, ""10"": 0.2928190633241719, ""50"": -0.1255760909278577, ""100"": -0.1255760909278577, ""150"": -0.1255760909278577, ""200"": -0.1255760909278577, ""250"": -0.1255760909278577}";"{""5"": 0.48555227011222285, ""10"": 0.43949484758634655, ""50"": -0.1842013530919107, ""100"": -0.1842013530919107, ""150"": -0.1842013530919107, ""200"": -0.1842013530919107, ""250"": -0.1842013530919107}";"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""auto"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_impurity_split"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 500, ""n_jobs"": -1, ""oob_score"": true, ""random_state"": null, ""verbose"": 1, ""warm_start"": true}";;(-6000, -5001);1996-08-13;2000-07-03
